Number of Student,Student ID,Subject,Are you Malaysian above 18 years old?,Where is your hometown?,Do you wish to go back hometown to vote?,I agree to continue my class as usual during 17 - 21 Nov 2022. ,I agree to have online class replacement for the leaves during General Election 15.
1,F220081C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
2,D180373C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),None
3,F220146C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree),Yes
4,D220024A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),None
5,B210076B,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree),None
6,B220173C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),None
7,F220087C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
8,F220074C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
9,F220074C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree),None
10,D220141B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,No (Disagree),Yes
11,B210192C,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree),None
12,B220091B,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),None
13,F220032B,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree),Yes
14,F220088C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,No,Yes (Agree),None
15,F220113C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree),None
16,D220014A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
17,F220049B,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree),None
18,F210051C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),None
19,B220180C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree),None
20,F220139C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
21,F220099C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree),None
22,B220164C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,No (Disagree),No
23,F220117C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
24,D200026A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree),None
25,F220123C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
26,F220148C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree),None
